Index,TensorID,TensorShape,TensorNumElement,TensorEachByte,TensorType,TensorStorgeid,gpuid
187,128,"[128, 512, 28, 28]",51380224,4,input,129,0
188,136,"[512, 512, 3, 3]",2359296,4,weight,137,0
189,547,"[128, 512, 28, 28]",51380224,4,output,145,0
190,541,"[512, 512, 3, 3]",2359296,4,output,193,0
191,543,[512],512,4,output,544,0
192,541,"[512, 512, 3, 3]",2359296,4,input,193,0
193,552,"[512, 512, 3, 3]",2359296,4,output,193,0
194,543,[512],512,4,input,544,0
195,557,[512],512,4,output,544,0
196,547,"[128, 512, 28, 28]",51380224,4,grad_output,145,0
197,546,"[128, 512, 28, 28]",51380224,4,input,129,0
198,561,"[128, 512, 28, 28]",51380224,4,output,467,0
199,561,"[128, 512, 28, 28]",51380224,4,grad_output,467,0
200,116,"[128, 256, 28, 28]",25690112,4,input,117,0
201,120,"[512, 256, 3, 3]",1179648,4,weight,121,0
202,573,"[128, 256, 28, 28]",25690112,4,output,155,0
203,567,"[512, 256, 3, 3]",1179648,4,output,311,0
204,569,[512],512,4,output,570,0
205,567,"[512, 256, 3, 3]",1179648,4,input,311,0
206,578,"[512, 256, 3, 3]",1179648,4,output,311,0
207,569,[512],512,4,input,570,0
208,583,[512],512,4,output,570,0
209,573,"[128, 256, 28, 28]",25690112,4,grad_output,155,0
210,106,"[128, 256, 56, 56]",102760448,4,input,107,0
211,118,"[128, 256, 28, 28]",25690112,8,indices,119,0
212,572,"[128, 256, 56, 56]",102760448,4,output,535,0
213,572,"[128, 256, 56, 56]",102760448,4,grad_output,535,0
214,591,"[128, 256, 56, 56]",102760448,4,input,107,0
215,593,"[128, 256, 56, 56]",102760448,4,output,119,0
216,593,"[128, 256, 56, 56]",102760448,4,grad_output,119,0
217,90,"[128, 256, 56, 56]",102760448,4,input,91,0
218,98,"[256, 256, 3, 3]",589824,4,weight,99,0
219,606,"[128, 256, 56, 56]",102760448,4,output,107,0
220,599,"[256, 256, 3, 3]",589824,4,output,600,0
221,602,[256],256,4,output,603,0
222,599,"[256, 256, 3, 3]",589824,4,input,600,0
223,611,"[256, 256, 3, 3]",589824,4,output,600,0
224,602,[256],256,4,input,603,0
225,616,[256],256,4,output,603,0
226,606,"[128, 256, 56, 56]",102760448,4,grad_output,107,0
227,605,"[128, 256, 56, 56]",102760448,4,input,91,0
228,620,"[128, 256, 56, 56]",102760448,4,output,119,0
229,620,"[128, 256, 56, 56]",102760448,4,grad_output,119,0
230,78,"[128, 128, 56, 56]",51380224,4,input,79,0
231,82,"[256, 128, 3, 3]",294912,4,weight,83,0
232,632,"[128, 128, 56, 56]",51380224,4,output,117,0
233,626,"[256, 128, 3, 3]",294912,4,output,229,0
234,628,[256],256,4,output,629,0
235,626,"[256, 128, 3, 3]",294912,4,input,229,0
236,637,"[256, 128, 3, 3]",294912,4,output,229,0
237,628,[256],256,4,input,629,0
238,642,[256],256,4,output,629,0
239,632,"[128, 128, 56, 56]",51380224,4,grad_output,117,0
240,68,"[128, 128, 112, 112]",205520896,4,input,69,0
241,80,"[128, 128, 56, 56]",51380224,8,indices,81,0
242,631,"[128, 128, 112, 112]",205520896,4,output,535,0
243,631,"[128, 128, 112, 112]",205520896,4,grad_output,535,0
244,650,"[128, 128, 112, 112]",205520896,4,input,69,0
245,652,"[128, 128, 112, 112]",205520896,4,output,653,0
246,652,"[128, 128, 112, 112]",205520896,4,grad_output,653,0
247,52,"[128, 128, 112, 112]",205520896,4,input,53,0
248,60,"[128, 128, 3, 3]",147456,4,weight,61,0
249,665,"[128, 128, 112, 112]",205520896,4,output,69,0
250,659,"[128, 128, 3, 3]",147456,4,output,249,0
251,661,[128],128,4,output,662,0
252,659,"[128, 128, 3, 3]",147456,4,input,249,0
253,670,"[128, 128, 3, 3]",147456,4,output,249,0
254,661,[128],128,4,input,662,0
255,675,[128],128,4,output,662,0
256,665,"[128, 128, 112, 112]",205520896,4,grad_output,69,0
257,664,"[128, 128, 112, 112]",205520896,4,input,53,0
258,679,"[128, 128, 112, 112]",205520896,4,output,535,0
259,679,"[128, 128, 112, 112]",205520896,4,grad_output,535,0
260,40,"[128, 64, 112, 112]",102760448,4,input,41,0
261,44,"[128, 64, 3, 3]",73728,4,weight,45,0
262,692,"[128, 64, 112, 112]",102760448,4,output,119,0
263,685,"[128, 64, 3, 3]",73728,4,output,686,0
264,688,[128],128,4,output,689,0
265,685,"[128, 64, 3, 3]",73728,4,input,686,0
266,697,"[128, 64, 3, 3]",73728,4,output,686,0
267,688,[128],128,4,input,689,0
268,702,[128],128,4,output,689,0
269,692,"[128, 64, 112, 112]",102760448,4,grad_output,119,0
270,30,"[128, 64, 224, 224]",411041792,4,input,31,0
271,42,"[128, 64, 112, 112]",102760448,8,indices,43,0
272,691,"[128, 64, 224, 224]",411041792,4,output,706,0
273,691,"[128, 64, 224, 224]",411041792,4,grad_output,706,0
274,711,"[128, 64, 224, 224]",411041792,4,input,31,0
275,713,"[128, 64, 224, 224]",411041792,4,output,714,0
276,713,"[128, 64, 224, 224]",411041792,4,grad_output,714,0
277,14,"[128, 64, 224, 224]",411041792,4,input,15,0
278,22,"[64, 64, 3, 3]",36864,4,weight,23,0
279,726,"[128, 64, 224, 224]",411041792,4,output,31,0
